id,regdate,first_name,last_name,email,phone,address,city,state,zipcode
2016,1/21/09 22:26,Sean,Zastrow,qkdnace@jumpstartlab.com,7018402000,205 E Bison Court,Fargo,ND,58102
2817,1/28/09 20:07,Jeffrey,Wilson,yoworden@jumpstartlab.com,7018663000,2309 S 12th St. APT 2,Grand Forks,ND,58201
2820,1/28/09 20:37,Alex,Lavaque,edoonan@jumpstartlab.com,7017403000,2309 S 12th St. APT 2,Grand Forks,ND,58201
2922,1/29/09 16:27,Becca,Mckaskill,oqmderc@jumpstartlab.com,7013302000,315 Kittson Ave.,Grand Forks,ND,58201
2925,1/29/09 16:51,Christina,Booth,abstin_morgan@jumpstartlab.com,7014266000,1350 N Broadway,Fargo,ND,58102
2954,1/29/09 20:27,Amanda,Saeler,demiller@jumpstartlab.com,7018400000,205 Bison Court E,Fargo,ND,58102
2962,1/29/09 21:01,Peter,Iglesias,cjrah.r.applegate@jumpstartlab.com,7013887000,"1316 12th Ave N, Apt. A",Fargo,ND,58102
2964,1/29/09 21:09,Kealy,O'connor,drtchell.hardman@jumpstartlab.com,7013887000,"1136 Westport Beach Way, Unit B",West Fargo,ND,58102
3984,2/1/09 4:33,Kelsey,Calhoun,mselseamanlapig@jumpstartlab.com,7017933000,"287, Niskanen",Fargo,ND,58102
4573,2/1/09 21:06,Marisa,Brennan-levine,uruthenbergmarshall@jumpstartlab.com,7012695000,822 N39th St.,Grand Forks,ND,58203
4642,2/1/09 21:30,Alyssa,Cabral,xoanrohe@jumpstartlab.com,7013302000,2218 9th ave N,Grand Forks,ND,58203
